TimeCreated,EventID,Provider,Computer,Channel,EventData
2025-06-10T15:46:09.376725Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-10T15:46:10.393782Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-10T15:46:10.424042Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-10T15:46:10.501635Z,4602,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": [""F6B08333-823D-4BAA-B870-B7A875756FC4"", ""C:\\Windows\\SYSVOL\\domain"", ""SYSVOL Share"", ""Domain System Volume"", ""DF878E87-D7A9-4212-8588-8A87039A4451"", ""4E666036-EB9F-4D54-A780-3646E069FE74"", """", ""0""]}, ""Binary"": null}"
2025-06-10T15:54:42.773593Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-11T13:25:12.709502Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-11T13:25:12.740755Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-11T13:25:12.772014Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-11T13:25:14.131486Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-11T13:25:15.163231Z,1202,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ["""", ""60"", ""160"", ""One or more arguments are not correct.""]}, ""Binary"": null}"
2025-06-11T13:30:15.960424Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-11T13:30:15.991270Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-11T14:03:34.912126Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-11T14:03:35.505909Z,1008,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-11T14:03:35.928286Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-11T14:03:35.928286Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-11T14:03:35.943455Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-11T14:03:37.101779Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-11T14:03:38.119288Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
