2026-06-23 14:02:51 status half-installed vim-runtime:all 2:9.1.0016-1ubuntu7.13
2026-06-23 14:03:01 status unpacked vim-runtime:all 2:9.1.0016-1ubuntu7.16
2026-06-23 14:03:03 upgrade xxd:amd64 2:9.1.0016-1ubuntu7.13 2:9.1.0016-1ubuntu7.16
2026-06-23 14:03:03 status half-configured xxd:amd64 2:9.1.0016-1ubuntu7.13
2026-06-23 14:03:03 status unpacked xxd:amd64 2:9.1.0016-1ubuntu7.13
2026-06-23 14:03:03 status half-installed xxd:amd64 2:9.1.0016-1ubuntu7.13
2026-06-23 14:03:04 status unpacked xxd:amd64 2:9.1.0016-1ubuntu7.16
2026-06-23 14:03:04 upgrade apparmor:amd64 4.0.1really4.0.1-0ubuntu0.24.04.6 4.0.1really4.0.1-0ubuntu0.24.04.7
2026-06-23 14:03:04 status half-configured apparmor:amd64 4.0.1really4.0.1-0ubuntu0.24.04.6
2026-06-23 14:03:05 status unpacked apparmor:amd64 4.0.1really4.0.1-0ubuntu0.24.04.6
2026-06-23 14:03:05 status half-installed apparmor:amd64 4.0.1really4.0.1-0ubuntu0.24.04.6
2026-06-23 14:03:08 status unpacked apparmor:amd64 4.0.1really4.0.1-0ubuntu0.24.04.7
2026-06-23 14:03:08 upgrade inetutils-telnet:amd64 2:2.5-3ubuntu4.1 2:2.5-3ubuntu4.2
2026-06-23 14:03:08 status half-configured inetutils-telnet:amd64 2:2.5-3ubuntu4.1
2026-06-23 14:03:08 status unpacked inetutils-telnet:amd64 2:2.5-3ubuntu4.1
2026-06-23 14:03:08 status half-installed inetutils-telnet:amd64 2:2.5-3ubuntu4.1
2026-06-23 14:03:08 status unpacked inetutils-telnet:amd64 2:2.5-3ubuntu4.2
2026-06-23 14:03:08 upgrade libdrm-common:all 2.4.125-1ubuntu0.1~24.04.1 2.4.125-1ubuntu0.1~24.04.2
2026-06-23 14:03:08 status half-configured libdrm-common:all 2.4.125-1ubuntu0.1~24.04.1
2026-06-23 14:03:08 status unpacked libdrm-common:all 2.4.125-1ubuntu0.1~24.04.1
2026-06-23 14:03:08 status half-installed libdrm-common:all 2.4.125-1ubuntu0.1~24.04.1
