TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,applicationID,className,destination,namespaceName,operationName,operationType,resourceUri
2026-03-26T06:17:14.961202Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1494,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:14.965639Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1495,4,,,,,,,
2026-03-26T06:17:14.965640Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1496,4,,,,,Enumeration,,
2026-03-26T06:17:14.967417Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1497,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:14.969982Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1498,4,,,,,,,
2026-03-26T06:17:14.969983Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1499,4,,,,,Enumeration,,
2026-03-26T06:17:14.971170Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1500,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:14.973746Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1501,4,,,,,,,
2026-03-26T06:17:14.973747Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1502,4,,,,,Enumeration,,
2026-03-26T06:17:14.974615Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1503,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:14.977266Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1504,4,,,,,,,
2026-03-26T06:17:14.977267Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1505,4,,,,,Enumeration,,
2026-03-26T06:17:14.978647Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1506,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:14.981017Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1507,4,,,,,,,
2026-03-26T06:17:14.981018Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1508,4,,,,,Enumeration,,
2026-03-26T06:17:14.981792Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1509,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:14.984083Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1510,4,,,,,,,
2026-03-26T06:17:14.984084Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1511,4,,,,,Enumeration,,
2026-03-26T06:17:14.985101Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1512,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:14.987859Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1513,4,,,,,,,
2026-03-26T06:17:14.987861Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1514,4,,,,,Enumeration,,
2026-03-26T06:17:14.989543Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1515,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:14.992271Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1516,4,,,,,,,
2026-03-26T06:17:14.992272Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1517,4,,,,,Enumeration,,
2026-03-26T06:17:14.993730Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1518,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
